BarnName,Index,DHIID,RFID,AgeMons_Ref,HfrMerit$,DateDue,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$,SireMerit$
7445 ,7445,47VCP2646,,20,+86,5-13,501HO8903,1HO9011,6062,-476,-6,-11,-8,+179
8772 ,8772,000000000,,1,+86,,HB,29HO10124,6139,+289,+25,+10,+171,
7219 ,7219,000000000,,23,+85,3-01,7HO7602,,3867,,,,,+169
7220 ,7220,47VCP2255,,23,+85,2-24,7HO7602,,3867,,,,,+169
7225 ,7225,47VCP2209,,23,+85,3-01,507HO7602,,5842,,,,,+169
7337 ,7337,000000000,,22,+85,4-01,7HO7602,,5006,,,,,+169
7752 ,7752,000000000,,16,+83,8-29,777HO5049,1HO7154,6261,+748,+21,+22,+166,
8021 ,8021,47VEB6357,,13,+82,,HB,1HO7127,6290,+712,+22,+27,+164,
7478 ,7478,47VCP2616,,20,+81,5-29,501HO7094,1HO8912,6025,-63,-17,-2,-82,+243
8073 ,8073,47VEB6527,,12,+81,,,29HO10241,6305,+194,+7,+7,+162,
8571 ,8571,000000000,,5,+81,,HB,501HO6987,6763,+44,+19,+5,+161,
8390 ,8390,47VEB6892,,7,+80,,HB,1HO9162,6581,+512,+27,+17,+160,
8760 ,8760,000000000,,1,+80,,1HO5433,1HO5588,5673,-469,-38,-22,-170,+329
7721 ,7721,47VEB5287,,17,+79,9-21,1HO2577,,3963,,,,,+157
7742 ,7742,47VEB5297,,17,+79,10-05,1HO2577,,5442,,,,,+157
8359 ,8359,47VEB6894,,8,+79,,1HO9591,11HO6159,6097,-621,-18,-15,-95,+252
7897G ,7897,47VEB6026,,14,+77,,HB,507HO6695,6275,-650,+23,-6,+153,
8236 ,8236,000000000,,9,+77,,1HO2557,1HO8379,2992,-629,-15,-10,-104,+258
8824 ,8824,000000000,,,+75,,HB,1HO7235,6045,+560,+13,+14,+149,
7926G ,7926,47VEB6369,,14,+72,,HB,1HO9071,6292,+373,+2,+10,+144,
7224 ,7224,47VCP2274,,23,+71,4-11,1HO7840,1HO6360,2671,-844,-24,-31,+35,+107
7860 ,7860,47VEB6054,,15,+70,,HB,1HO6721,6226,+16,+16,-5,+140,
8205 ,8205,000000000,,10,+69,,HB,1HO9096,6568,+326,+1,+14,+137,
8160 ,8160,47VEB6544,,10,+67,,HB,1HO9154,6422,+80,+25,+9,+134,
8259 ,8259,000000000,,9,+65,,751HO9554,1HO6833,6617,-22,-1,-4,+129,
8316 ,8316,47VEB6856,,8,+65,,HB,29HO10124,6367,+434,+0,+13,+129,
8546 ,8546,000000000,,5,+65,,1HO2640,,3918,,,,,+130
8547 ,8547,000000000,,5,+65,,1HO2640,,3918,,,,,+130
